A-levels scores,Education,Current Employment,Current Employment Sector,Current Annual Income,References Submitted,Was Hired by a Company within 6 months
85,business,contractual,law,0,1,1
44,law,unemployed,unemployed,0,0,0
44,stem,unemployed,unemployed,0,0,0
80,arts,unemployed,unemployed,0,0,0
76,law,unemployed,unemployed,101784,0,0
85,business,self business,engineering,139457,1,1
69,law,unemployed,unemployed,0,0,0
50,business,salaried,arts,52378,1,0
64,business,self business,transportation,102857,0,0
59,law,unemployed,unemployed,0,1,0
52,stem,contractual,arts,113049,1,0
60,business,salaried,health,93335,1,0
47,law,unemployed,unemployed,0,1,0
89,stem,contractual,law,78391,1,1
52,arts,unemployed,unemployed,0,0,0
50,law,unemployed,unemployed,0,0,0
87,stem,salaried,arts,0,1,1
67,arts,unemployed,unemployed,0,1,0
51,business,contractual,it,80429,1,0
44,law,self business,law,40475,0,0
52,law,contractual,transportation,135505,0,0
58,business,self business,it,136675,1,0
80,business,self business,transportation,64147,0,0
66,arts,salaried,arts,149665,0,0
55,business,contractual,it,77111,1,0
63,business,unemployed,unemployed,0,0,0
47,business,self business,law,144061,0,0
54,law,unemployed,unemployed,0,1,0
46,arts,self business,health,78585,1,0
75,law,contractual,health,71345,1,1
41,stem,contractual,it,83251,0,0
82,business,self business,health,131787,1,1
64,stem,unemployed,unemployed,0,1,0
51,stem,self business,it,94210,0,0
45,arts,self business,transportation,48100,1,0
89,stem,salaried,accounting,102680,1,1
61,law,contractual,accounting,141537,0,0
67,business,contractual,transportation,55911,1,0
69,business,contractual,it,95165,1,0
62,business,contractual,arts,50219,0,0
81,arts,contractual,engineering,0,1,1
55,stem,contractual,accounting,112033,0,0
46,stem,salaried,engineering,148507,1,0
87,arts,contractual,law,89965,1,1
57,law,self business,it,149950,1,0
78,stem,salaried,health,89357,1,1
44,arts,self business,health,94355,1,0
70,business,salaried,it,57995,1,1
70,stem,unemployed,unemployed,0,0,0
53,arts,unemployed,unemployed,0,1,0
72,business,salaried,arts,85951,1,1
59,business,contractual,engineering,64868,0,0
73,arts,unemployed,unemployed,0,1,0
52,law,unemployed,unemployed,0,0,0
67,arts,self business,engineering,133236,0,0
84,business,contractual,law,95813,1,1
64,arts,salaried,health,137300,0,0
86,business,self business,law,65977,1,1
88,arts,contractual,transportation,149148,1,1
42,business,unemployed,unemployed,0,0,0
68,business,salaried,transportation,109755,1,0
63,stem,salaried,arts,89317,1,0
88,stem,salaried,health,0,1,1
87,law,salaried,arts,83316,1,1
82,stem,salaried,arts,68466,1,1
73,law,salaried,accounting,117612,1,0
85,business,salaried,engineering,101913,1,1
61,arts,contractual,transportation,87701,1,0
41,business,self business,law,85729,0,0
62,business,salaried,transportation,140960,0,0
78,arts,unemployed,unemployed,0,0,0
50,arts,salaried,it,120070,0,0
70,business,self business,health,91196,0,0
58,arts,salaried,arts,85171,0,0
61,stem,unemployed,unemployed,100673,1,0
84,stem,contractual,engineering,115055,1,1
89,law,contractual,transportation,66482,1,1
79,law,contractual,arts,0,1,1
71,business,unemployed,unemployed,117003,0,0
44,law,contractual,it,116048,0,0
57,stem,self business,law,119715,1,0
76,business,self business,health,70709,0,0
80,business,unemployed,unemployed,0,1,0
57,law,salaried,law,40751,0,0
66,law,self business,health,138575,0,0
73,law,self business,accounting,149732,1,0
43,arts,unemployed,unemployed,0,0,0
62,stem,unemployed,unemployed,0,1,0
68,stem,self business,transportation,133866,1,0
86,business,contractual,engineering,81848,1,1
68,law,salaried,it,81494,0,0
83,business,self business,transportation,80588,1,1
48,stem,unemployed,unemployed,0,0,0
84,stem,salaried,arts,0,1,1
42,stem,contractual,accounting,55775,1,0
58,stem,unemployed,unemployed,0,0,0
56,arts,contractual,accounting,121050,0,0
56,arts,unemployed,unemployed,0,1,0
43,stem,contractual,law,62043,0,0
89,business,self business,arts,84144,1,1
46,law,self business,engineering,51477,0,0
89,arts,contractual,arts,0,1,1
65,law,unemployed,unemployed,43589,0,0
51,arts,contractual,law,108698,0,0
85,business,contractual,law,0,1,1
48,arts,unemployed,unemployed,0,0,0
57,law,salaried,accounting,123533,1,0
44,arts,self business,transportation,69107,1,0
45,business,contractual,transportation,89764,0,0
50,stem,unemployed,unemployed,131995,1,0
77,stem,salaried,health,106928,0,0
67,arts,self business,it,82790,1,0
69,business,self business,engineering,97419,1,0
60,arts,self business,law,68272,1,0
83,law,self business,it,117756,1,1
74,arts,self business,arts,0,1,1
48,stem,contractual,engineering,66624,0,0
72,arts,self business,arts,49431,0,0
81,arts,salaried,engineering,0,1,1
83,stem,salaried,law,114188,1,1
89,business,contractual,arts,0,1,1
84,stem,self business,law,0,1,1
59,law,salaried,health,114052,1,0
79,arts,contractual,health,63636,1,1
89,arts,salaried,health,82809,1,1
82,stem,contractual,it,149525,1,1
85,arts,contractual,arts,0,1,1
88,business,self business,accounting,71994,1,1
80,arts,self business,law,118483,1,1
78,stem,contractual,accounting,51016,0,0
84,stem,contractual,accounting,0,1,1
67,law,salaried,accounting,93431,1,0
69,arts,salaried,it,55641,1,0
57,business,self business,accounting,84585,0,0
86,stem,salaried,it,57644,1,1
42,arts,self business,accounting,69475,1,0
76,arts,salaried,law,114024,1,0
87,business,contractual,engineering,0,1,1
59,stem,salaried,arts,82271,1,0
71,stem,salaried,engineering,149491,0,0
52,stem,self business,it,140561,1,0
66,arts,unemployed,unemployed,0,0,0
64,law,unemployed,unemployed,0,0,0
61,arts,unemployed,unemployed,0,1,0
87,arts,salaried,law,106784,1,1
53,stem,contractual,it,89606,1,0
40,business,unemployed,unemployed,0,0,0
42,law,unemployed,unemployed,115630,1,0
54,business,unemployed,unemployed,0,0,0
46,business,contractual,arts,116141,0,0
43,law,unemployed,unemployed,0,0,0
47,law,self business,arts,77481,1,0
41,arts,unemployed,unemployed,0,1,0
68,law,unemployed,unemployed,89504,0,0
86,business,self business,law,142908,1,1
72,law,unemployed,unemployed,74263,0,0
88,arts,self business,engineering,0,1,1
60,stem,salaried,law,88988,0,0
70,business,salaried,accounting,74867,1,0
80,arts,self business,accounting,84579,0,0
51,stem,salaried,transportation,90686,0,0
82,arts,salaried,transportation,143250,1,1
52,business,salaried,health,100935,1,0
66,stem,contractual,engineering,89460,1,0
52,business,unemployed,unemployed,0,0,0
45,stem,salaried,engineering,105338,1,0
63,stem,unemployed,unemployed,0,0,0
86,arts,salaried,accounting,0,1,1
73,arts,salaried,health,71782,0,0
72,law,salaried,accounting,44300,1,1
67,business,salaried,law,77837,0,0
79,stem,self business,accounting,51424,1,0
79,arts,contractual,transportation,112424,1,0
71,law,contractual,accounting,69820,0,0
70,business,unemployed,unemployed,0,1,0
51,stem,self business,it,105897,0,0
63,stem,contractual,engineering,118650,0,0
74,arts,unemployed,unemployed,0,1,0
41,business,unemployed,unemployed,0,0,0
89,stem,salaried,accounting,53607,1,1
69,law,salaried,health,88252,0,0
84,arts,salaried,arts,0,1,1
57,law,unemployed,unemployed,0,1,0
65,law,unemployed,unemployed,0,0,0
89,arts,contractual,law,123512,1,1
87,law,self business,law,83944,1,1
51,law,salaried,law,68830,1,0
64,law,contractual,it,119102,0,0
61,law,unemployed,unemployed,59824,0,0
88,business,salaried,it,63226,1,1
82,business,self business,law,69972,1,1
81,stem,self business,arts,49798,1,1
66,business,salaried,it,146695,0,0
85,arts,contractual,it,47623,1,1
62,stem,unemployed,unemployed,0,1,0
74,stem,salaried,engineering,0,1,1
60,arts,unemployed,unemployed,0,1,0
41,arts,contractual,arts,95723,0,0
56,law,contractual,accounting,95930,1,0
75,arts,unemployed,unemployed,0,0,0
79,law,self business,accounting,90612,1,1
70,business,salaried,transportation,87561,1,1
45,stem,salaried,transportation,75455,0,0
81,arts,contractual,accounting,127603,1,1
63,business,self business,it,53087,0,0
45,arts,self business,it,139927,0,0
56,stem,unemployed,unemployed,0,0,0
61,law,self business,engineering,123228,1,0
68,law,unemployed,unemployed,0,0,0
73,stem,self business,transportation,98952,1,0
61,stem,unemployed,unemployed,0,1,0
85,law,contractual,engineering,63969,1,1
74,arts,unemployed,unemployed,57038,1,0
69,law,salaried,transportation,46866,0,0
58,law,contractual,accounting,64758,0,0
83,business,self business,health,82227,1,1
43,stem,salaried,it,146291,1,0
71,arts,self business,accounting,110092,0,0
77,arts,unemployed,unemployed,0,0,0
46,stem,self business,accounting,123663,0,0
77,arts,salaried,it,0,1,1
52,arts,contractual,it,148523,1,0
59,arts,contractual,engineering,136525,0,0
85,law,salaried,arts,116958,1,1
72,business,salaried,health,88923,1,1
69,business,salaried,law,58221,0,0
56,arts,unemployed,unemployed,0,0,0
75,stem,self business,health,90729,1,0
54,law,unemployed,unemployed,55224,1,0
41,law,salaried,law,114860,1,0
47,business,unemployed,unemployed,0,1,0
43,stem,contractual,it,84288,0,0
58,law,contractual,health,83931,1,0
72,stem,unemployed,unemployed,0,0,0
84,law,contractual,it,0,1,1
72,business,salaried,accounting,103559,0,0
57,business,contractual,transportation,108505,0,0
73,business,contractual,law,45697,0,0
88,law,salaried,health,0,1,1
70,stem,unemployed,unemployed,115233,1,0
75,arts,contractual,accounting,93386,0,0
64,business,self business,engineering,118944,0,0
88,arts,salaried,accounting,89809,1,1
61,business,salaried,engineering,55446,0,0
43,stem,unemployed,unemployed,0,0,0
89,stem,salaried,arts,0,1,1
77,arts,self business,accounting,146506,1,0
65,law,salaried,accounting,69967,1,0
49,stem,unemployed,unemployed,142497,0,0
73,arts,contractual,law,104923,0,0
42,stem,unemployed,unemployed,0,0,0
50,arts,unemployed,unemployed,0,0,0
68,business,contractual,it,81887,1,0
51,arts,unemployed,unemployed,0,0,0
82,law,salaried,accounting,0,1,1
73,arts,self business,health,84981,1,0
87,business,salaried,transportation,0,1,1
55,stem,salaried,accounting,125077,0,0
74,arts,unemployed,unemployed,0,0,0
78,business,contractual,transportation,51402,1,0
85,business,contractual,health,0,1,1
71,law,self business,health,53979,1,0
89,business,salaried,arts,52601,1,1
69,stem,contractual,arts,101927,1,0
51,law,salaried,health,100298,1,0
80,stem,salaried,transportation,128338,1,1
71,law,salaried,accounting,95549,0,0
53,stem,contractual,arts,68809,0,0
53,arts,self business,health,64459,1,0
45,law,self business,health,123665,0,0
58,business,salaried,health,48948,0,0
69,business,salaried,engineering,124624,0,0
44,stem,salaried,engineering,84340,1,0
61,business,self business,health,113179,1,0
60,law,salaried,law,44295,0,0
59,law,unemployed,unemployed,0,0,0
87,law,contractual,accounting,0,1,1
64,business,self business,transportation,91008,1,0
41,business,unemployed,unemployed,110252,0,0
71,law,self business,arts,117344,1,1
82,stem,self business,accounting,0,1,1
54,business,unemployed,unemployed,0,0,0
79,law,self business,engineering,78740,0,0
58,law,contractual,transportation,52909,1,0
76,arts,contractual,it,125623,0,0
47,arts,unemployed,unemployed,0,1,0
50,business,contractual,accounting,103568,1,0
89,law,contractual,accounting,108186,1,1
84,arts,salaried,health,0,1,1
60,stem,salaried,engineering,125531,0,0
87,arts,contractual,law,84150,1,1
61,business,self business,arts,98089,0,0
79,stem,salaried,transportation,93843,1,1
42,business,unemployed,unemployed,0,1,0
50,stem,self business,accounting,40900,1,0
78,stem,salaried,health,67715,0,0
76,stem,salaried,arts,112181,1,1
41,law,salaried,arts,87901,0,0
48,arts,self business,arts,63573,1,0
57,law,unemployed,unemployed,0,1,0
67,stem,contractual,arts,123842,1,0
56,business,unemployed,unemployed,0,0,0
53,law,contractual,law,142588,1,0
63,arts,contractual,health,133059,0,0
44,law,unemployed,unemployed,63931,0,0
59,stem,self business,accounting,122521,1,0
76,law,unemployed,unemployed,0,0,0
54,law,contractual,accounting,100586,1,0
53,business,salaried,law,60616,0,0
85,arts,contractual,health,0,1,1
71,arts,salaried,transportation,111666,0,0
76,business,self business,engineering,101735,0,0
78,business,self business,health,83965,0,0
79,business,unemployed,unemployed,0,0,0
40,law,salaried,accounting,145574,1,0
63,arts,contractual,engineering,67322,1,0
79,business,contractual,it,54326,1,1
56,law,unemployed,unemployed,0,1,0
73,business,unemployed,unemployed,112606,0,0
82,business,self business,it,116127,1,1
62,business,unemployed,unemployed,0,1,0
65,arts,contractual,arts,94350,0,0
51,business,unemployed,unemployed,0,1,0
82,stem,contractual,health,0,1,1
48,business,unemployed,unemployed,126833,1,0
46,business,salaried,law,148572,1,0
83,law,self business,it,0,1,1
69,stem,self business,arts,40500,1,0
55,business,salaried,arts,72272,0,0
88,stem,contractual,health,0,1,1
71,arts,salaried,arts,87390,1,0
84,business,salaried,engineering,143165,1,1
80,business,unemployed,unemployed,0,1,0
50,law,unemployed,unemployed,0,0,0
46,stem,unemployed,unemployed,0,1,0
89,law,salaried,accounting,53088,1,1
43,stem,salaried,engineering,81812,0,0
49,law,salaried,engineering,76236,0,0
48,law,salaried,health,108125,1,0
52,arts,self business,law,71754,0,0
44,stem,salaried,engineering,114090,1,0
61,law,self business,transportation,125878,0,0
49,law,contractual,accounting,45672,1,0
86,business,salaried,health,104606,1,1
75,business,self business,transportation,134494,0,0
45,business,contractual,accounting,109079,1,0
44,law,unemployed,unemployed,93562,1,0
49,law,unemployed,unemployed,0,1,0
70,arts,unemployed,unemployed,142588,1,0
81,stem,salaried,health,104418,1,1
78,arts,self business,engineering,126027,1,0
84,business,salaried,arts,127629,1,1
72,arts,unemployed,unemployed,0,0,0
61,stem,salaried,transportation,125300,0,0
41,business,contractual,health,74749,0,0
85,stem,self business,health,98078,1,1
71,business,unemployed,unemployed,0,0,0
54,law,unemployed,unemployed,0,1,0
61,business,unemployed,unemployed,0,1,0
41,stem,unemployed,unemployed,0,1,0
65,arts,unemployed,unemployed,0,0,0
84,stem,contractual,engineering,55303,1,1
49,business,self business,health,108189,1,0
72,law,salaried,accounting,137467,1,0
60,arts,contractual,arts,100480,1,0
52,business,salaried,it,83192,0,0
68,business,self business,health,123701,1,0
52,law,contractual,law,136467,1,0
62,stem,unemployed,unemployed,55998,0,0
79,law,self business,arts,133709,1,0
76,stem,contractual,transportation,138011,0,0
73,law,salaried,it,103850,1,0
50,business,unemployed,unemployed,0,0,0
65,stem,contractual,arts,91126,0,0
40,stem,salaried,it,86706,0,0
69,stem,contractual,engineering,148118,1,0
84,arts,salaried,transportation,0,1,1
43,stem,salaried,transportation,42486,0,0
82,stem,contractual,arts,86353,1,1
45,stem,salaried,accounting,102933,0,0
69,business,salaried,law,147918,0,0
82,business,self business,arts,79898,1,1
89,law,salaried,accounting,132981,1,1
40,law,self business,arts,100258,0,0
50,stem,salaried,health,148688,0,0
45,arts,contractual,it,112680,1,0
41,arts,salaried,law,80187,0,0
70,business,contractual,engineering,114827,0,0
71,law,salaried,arts,124722,0,0
83,business,self business,transportation,95747,1,1
48,arts,unemployed,unemployed,0,1,0
65,business,salaried,engineering,103355,1,0
88,law,contractual,engineering,87756,1,1
58,business,unemployed,unemployed,130127,1,0
77,business,salaried,it,146957,1,0
51,law,contractual,engineering,148172,0,0
66,law,salaried,transportation,119066,1,0
51,stem,unemployed,unemployed,0,0,0
55,law,contractual,law,134089,0,0
77,stem,unemployed,unemployed,0,1,0
80,law,salaried,health,0,1,1
82,arts,self business,law,0,1,1
58,stem,salaried,engineering,104032,1,0
58,business,salaried,accounting,102418,1,0
51,arts,unemployed,unemployed,0,1,0
74,business,unemployed,unemployed,140983,1,0
71,business,unemployed,unemployed,0,0,0
62,business,self business,health,138521,0,0
68,business,self business,it,40950,1,0
67,business,contractual,transportation,95146,1,0
70,law,unemployed,unemployed,0,1,0
44,arts,self business,accounting,149811,0,0
61,business,unemployed,unemployed,0,0,0
47,law,unemployed,unemployed,0,0,0
66,arts,self business,transportation,52450,1,0
48,business,self business,transportation,115472,1,0
50,stem,unemployed,unemployed,0,1,0
81,arts,contractual,health,115904,1,1
41,arts,unemployed,unemployed,0,1,0
79,arts,self business,law,85807,1,1
49,arts,unemployed,unemployed,0,1,0
42,law,salaried,transportation,50713,1,0
83,law,salaried,accounting,83784,1,1
52,law,contractual,arts,102693,0,0
87,business,self business,it,95688,1,1
80,law,unemployed,unemployed,0,1,0
46,stem,salaried,health,61302,0,0
86,stem,contractual,law,0,1,1
64,business,self business,arts,106950,0,0
60,business,unemployed,unemployed,0,0,0
43,business,contractual,engineering,45759,0,0
46,arts,contractual,arts,115760,1,0
71,arts,salaried,arts,58838,0,0
82,stem,self business,engineering,0,1,1
80,arts,unemployed,unemployed,0,0,0
68,business,salaried,health,137771,1,0
71,arts,unemployed,unemployed,0,1,0
41,stem,contractual,transportation,50368,0,0
78,arts,contractual,health,105197,1,0
83,stem,self business,health,100466,1,1
58,business,self business,accounting,127761,1,0
48,law,salaried,engineering,133431,0,0
77,law,unemployed,unemployed,53475,0,0
86,business,self business,health,64813,1,1
87,stem,contractual,engineering,0,1,1
71,law,contractual,engineering,79400,1,1
62,business,salaried,health,51518,1,0
58,business,unemployed,unemployed,0,0,0
71,law,self business,arts,118752,0,0
59,stem,salaried,engineering,59565,0,0
42,arts,unemployed,unemployed,0,1,0
83,arts,salaried,arts,69745,1,1
44,arts,self business,arts,99199,0,0
72,arts,unemployed,unemployed,0,0,0
58,business,unemployed,unemployed,73837,1,0
63,law,contractual,engineering,73204,1,0
63,arts,self business,accounting,103821,0,0
54,stem,contractual,arts,96197,0,0
84,business,contractual,law,76239,1,1
77,business,contractual,health,88245,1,1
84,arts,contractual,health,144770,1,1
69,law,unemployed,unemployed,0,1,0
59,arts,contractual,engineering,53851,0,0
79,business,unemployed,unemployed,0,0,0
41,law,unemployed,unemployed,64654,1,0
55,arts,contractual,health,46517,1,0
67,law,salaried,transportation,85821,0,0
70,law,contractual,engineering,140352,0,0
83,stem,self business,health,140970,1,1
40,business,salaried,it,89716,1,0
45,law,contractual,transportation,61906,0,0
41,stem,contractual,engineering,124300,1,0
49,stem,unemployed,unemployed,146539,0,0
58,stem,contractual,it,50791,0,0
63,arts,salaried,it,68618,1,0
73,business,contractual,arts,94532,0,0
61,business,unemployed,unemployed,79289,0,0
79,business,unemployed,unemployed,0,0,0
89,arts,salaried,law,0,1,1
80,arts,salaried,it,84339,0,0
78,law,unemployed,unemployed,0,0,0
60,arts,unemployed,unemployed,50968,0,0
44,law,salaried,arts,77037,1,0
63,law,self business,health,96372,0,0
77,business,unemployed,unemployed,0,1,0
67,stem,unemployed,unemployed,0,1,0
58,arts,self business,law,98867,0,0
75,business,salaried,engineering,124297,0,0
68,arts,contractual,arts,67024,1,0
59,arts,contractual,accounting,124425,0,0
55,law,salaried,engineering,56445,1,0
40,business,salaried,transportation,48667,0,0
40,stem,self business,accounting,83605,0,0
82,business,salaried,health,99574,1,1
84,arts,self business,accounting,0,1,1
74,law,self business,engineering,0,1,1
87,arts,self business,transportation,145721,1,1
72,stem,contractual,arts,129957,1,0
44,business,self business,health,134037,1,0
46,stem,salaried,health,97453,0,0
44,business,unemployed,unemployed,0,0,0
59,arts,contractual,transportation,45831,1,0
42,stem,contractual,health,109653,1,0
83,arts,self business,it,79826,1,1
56,law,salaried,accounting,50728,1,0
69,arts,unemployed,unemployed,0,0,0
60,business,salaried,accounting,119314,0,0
86,business,self business,transportation,58978,1,1
51,stem,self business,engineering,57741,1,0
45,arts,salaried,law,91893,0,0
48,stem,unemployed,unemployed,0,0,0
85,law,contractual,it,105515,1,1
72,business,self business,arts,97015,1,1
62,business,self business,law,89029,1,0
72,law,self business,it,82978,0,0
72,stem,contractual,health,112349,1,0
52,business,self business,it,42334,1,0
57,stem,contractual,health,134127,1,0
60,stem,salaried,engineering,81626,0,0
58,stem,salaried,health,113839,0,0
85,business,salaried,accounting,95374,1,1
42,stem,salaried,it,97829,1,0
83,business,self business,engineering,106721,1,1
84,law,self business,transportation,86306,1,1
69,arts,salaried,health,141920,0,0
54,arts,contractual,accounting,64629,1,0
65,stem,contractual,arts,43887,0,0
83,business,self business,law,0,1,1
60,business,unemployed,unemployed,0,1,0
72,law,self business,accounting,57875,0,0
68,stem,unemployed,unemployed,0,0,0
40,law,self business,transportation,76396,1,0
69,arts,salaried,law,45414,1,0
69,law,salaried,accounting,141136,1,0
81,arts,salaried,engineering,135233,1,1
59,law,salaried,health,132298,0,0
72,stem,contractual,law,47839,1,0
52,stem,salaried,arts,87887,0,0
61,law,contractual,health,71941,0,0
51,stem,contractual,engineering,44566,1,0
78,business,contractual,it,61257,0,0
76,law,contractual,health,135487,1,0
70,arts,contractual,health,109303,1,0
47,business,contractual,it,65976,1,0
80,law,contractual,arts,95267,0,0
67,law,salaried,health,125279,0,0
41,law,unemployed,unemployed,48528,0,0
67,law,contractual,engineering,40906,1,0
61,business,self business,it,54798,1,0
71,business,unemployed,unemployed,0,0,0
73,business,self business,arts,41759,1,1
56,arts,unemployed,unemployed,0,1,0
74,stem,self business,arts,0,1,1
76,arts,salaried,arts,136600,1,1
84,business,self business,health,41230,1,1
72,stem,unemployed,unemployed,0,0,0
83,business,self business,accounting,0,1,1
59,arts,self business,law,88878,0,0
63,stem,salaried,law,61353,0,0
49,arts,self business,health,90629,0,0
56,business,self business,health,116556,0,0
87,law,contractual,it,53325,1,1
60,arts,contractual,arts,48428,0,0
79,stem,unemployed,unemployed,0,0,0
76,business,self business,engineering,139942,1,1
53,stem,self business,arts,87019,0,0
44,stem,unemployed,unemployed,0,1,0
73,law,contractual,it,0,1,1
68,business,self business,arts,141157,1,0
71,business,salaried,health,0,1,1
56,stem,self business,accounting,74098,0,0
60,law,self business,transportation,43128,1,0
70,law,contractual,accounting,96197,0,0
47,stem,self business,health,41203,0,0
83,arts,self business,arts,133409,1,1
55,arts,unemployed,unemployed,128124,1,0
73,business,contractual,health,70847,1,1
53,business,self business,health,89994,0,0
55,business,contractual,transportation,88909,1,0
70,arts,contractual,it,138744,0,0
74,stem,unemployed,unemployed,0,1,0
65,arts,unemployed,unemployed,0,1,0
85,business,self business,accounting,44222,1,1
87,arts,contractual,engineering,0,1,1
45,business,salaried,accounting,77683,1,0
57,stem,contractual,health,52886,1,0
81,stem,salaried,engineering,0,1,1
58,law,contractual,law,137760,0,0
82,arts,salaried,law,125297,1,1
45,business,self business,engineering,61400,1,0
59,law,unemployed,unemployed,0,1,0
81,business,contractual,arts,0,1,1
46,arts,contractual,law,105267,1,0
51,stem,self business,engineering,63104,1,0
83,business,contractual,accounting,49354,1,1
44,stem,salaried,it,76019,0,0
74,business,unemployed,unemployed,139898,0,0
49,law,salaried,law,93065,0,0
70,arts,unemployed,unemployed,0,1,0
60,arts,contractual,arts,148257,0,0
44,business,contractual,it,145441,0,0
51,arts,unemployed,unemployed,0,1,0
